Day,tAM,rhAM,cAM,wAM,tPM,rhPM,cPM,wPM,Rain,MSLP,tMin,tMax,dAM,dPM
320,8.2,91,0,9,7.2,99,0,9,1.2,1006.3,5.4,9.9,NNW,W
321,3.7,100,0,2,5.5,87,0,4,15.2,1021.2,2.4,6.9,SW,E
322,4.6,79,0,15,7.4,65,0,9,3.8,1030,2.2,8.2,E,E
323,8.1,49,0,7.465714286,9.3,55,0,4,0,1031.7,2.6,11.5,0,ESE
324,11.3,34,0,7,12.5,46,0,9,0,1031.4,4,13.2,ESE,E
325,12.4,53,0,4,13.1,50,0,4,0,1026.7,7.9,15.1,NE,N
326,10.5,65,0,11,10.9,73,0,7,0,1021.7,9.3,11.3,NNE,NE
327,11.2,83,0,4,13.7,70,0,7,0,1020.1,8.9,14.3,NW,NE
328,11,71,0,17,9.8,97,0,13,0,1011.7,8.8,13.2,NE,NNE
329,5,100,0,2,6,100,0,6,0,1015.6,4.8,7.8,WNW,W
330,7.7,100,0,2,9,100,0,4,0,1020.3,4.3,9.8,W,WSW
331,6.8,100,0,4,8.1,75,0,6,0,1023.8,6.1,9,W,WSW
332,5,100,0,4,8.7,66,0,6,8.8,1027.6,3.9,9.6,WSW,WSW
333,6.3,66,0,9,8.6,53,0,11,0.4,1022.3,2.2,9.1,NNW,NNW
334,8.1,52,0,13,9.3,60,0,11,0,1009.7,5.8,10.8,N,N
335,6.4,78,0,7,9.2,73,0,9,1,1011.3,3.8,9.9,NNW,NNW
336,9.6,72,0,6,10.6,60,0,15,4.2,1010.8,6.3,11.7,NNW,N
337,10.6,79,0,11,14.3,52,0,13,1.2,1002.7,7.3,16.3,NNW,N
338,11.7,59,0,6,13.8,44,0,11,0.2,995.8,10.5,14.2,N,NNW
339,7.9,81,0,7,8.6,85,0,6,0,999.4,7.8,8.8,NNW,NNE
340,6.5,91,0,4,8.6,87,0,2,5.2,1008.3,5.5,9.5,NW,NNW
341,6.8,100,0,7.465714286,8.5,77,0,2,10,1019,4.7,10.8,0,WSW
342,8.5,68,0,7.465714286,9.6,61,0,4,0,1024.1,4,10,0,SW
343,6.3,100,0,6,9.1,73,0,4,0.2,1026.5,3.8,10.4,ESE,ESE
344,7.2,63,0,6,10.1,65,0,11,0,1023.1,3.9,10.7,NNE,NE
345,10.4,64,0,15,7.7,100,0,7,0,1013.6,7.2,11.8,NNE,N
346,8.4,81,0,13,8.9,86,0,7,7,1012.3,7.1,11.4,NNE,ENE
347,11.3,55,0,7,9.8,75,0,19,0.6,1011.3,7.2,14.1,ESE,E
348,5.5,100,0,4,8,100,0,4,0,1002.2,5.1,8.5,WNW,WSW
349,6.8,89,0,7,10.2,65,0,4,0,1002.6,5.4,10.8,WNW,SSW
350,8.2,100,0,7,8.2,100,0,9,17.8,1014.4,5.7,8.8,WSW,W
351,7,93,0,4,10.1,78,0,11,8.4,1016.5,4.1,11,NNW,N
352,9.8,78,0,22,10.2,78,0,11,1,1006.5,7,10.8,NNE,N
353,6,94,0,6,9.9,60,0,2,19,1014.9,4.2,11.1,NW,NNW
354,7.3,100,0,7,7.9,74,0,4,12.4,1022.7,5.5,10.5,SW,S
355,4.7,79,0,4,8.7,58,0,9,0,1022.7,3.1,10,E,N
356,9.8,64,0,13,11.4,73,0,9,0,1006.6,4.7,11.9,N,NNE
357,4,100,0,6,5.6,100,0,4,41,1017.8,2.8,7.9,SW,NW
358,4.5,100,0,2,6.8,100,0,6,8.4,1021.3,3.9,7.9,NW,W
359,7.7,100,0,6,8.6,100,0,7,31.8,1026.2,4.5,9.3,SSW,WSW
360,7.2,100,0,2,9.7,87,0,4,3,1028.1,5.9,11.8,SE,SW
361,11.5,72,0,4,14.9,51,0,7,0,1026.4,6.1,15.2,N,NNW
362,11.9,67,0,11,15.7,54,0,11,0,1022.4,10.1,16.3,NE,NNE
363,13.7,63,0,15,10.1,100,0,4,0,1016.1,12,14.1,NNE,NW
364,6,93,0,7,7.9,100,0,2,22.2,1015,5.1,8.9,NW,WNW
365,7.4,89,0,6,12.3,59,0,2,3,1023.7,3.2,12.6,NW,WNW
366,6.8,87,0,2,9.9,61,0,4,0,1022,5.9,10.3,NW,NW
367,5.9,77,0,6,7.4,65,0,6,7.4,1028.2,4.3,9.2,SSW,S
368,6.9,100,0,6,9.8,79,0,4,0.6,1029.3,4.1,10.9,SE,SSE
369,6.2,86,0,4,7.6,85,0,4,0,1027.7,4.6,8.7,ESE,SE
370,8,63,0,9,10.9,53,0,13,0.2,1024.5,4.6,11.5,E,E
371,9.8,59,0,7.465714286,12.8,56,0,9,0,1022.7,4.6,13.7,0,ENE
372,12.4,52,0,9,14.6,49,0,7,0,1017.7,7.3,15.6,NE,E
373,12.7,80,0,17,12,93,0,15,1,1006.2,10.7,13.6,NE,NE
374,12,79,0,13,14.7,55,0,6,2.8,1007.3,10.1,16,NE,N
375,7.8,100,0,2,10.5,75,0,7,14.2,1012.3,7.4,10.9,W,W
376,7,77,0,7,10.9,64,0,7,0.2,1013.6,4.5,12.4,NW,WNW
377,5.5,100,0,2,8,74,0,9,6.6,1020,4.6,9.3,NW,WSW
378,7.2,77,0,4,8.3,63,0,7,0,1026.7,2.5,9.7,SE,SE
379,9.7,56,0,11,12.9,45,0,15,0,1019,3.2,14,N,N
380,9.8,87,0,9,12.2,78,0,7,0,1007.3,7.9,13.2,NNE,NNE
381,10.9,80,0,9,11.5,73,0,9,0,998,7.6,12.7,N,N
382,7.7,86,0,13,7.7,92,0,11,6,998.2,6.1,8.7,N,WNW
383,6.9,100,0,7,8.4,100,0,6,15,1005.8,6,9.5,NW,N
384,6.8,95,0,7,10.5,92,0,2,10.6,1016.5,3.4,11,NW,WSW
385,10.8,64,0,13,15.4,47,0,6,0,1016.7,6.2,16.1,NNE,NNW
386,13.7,54,0,6,15.4,56,0,6,0.6,1015.7,10.7,16.4,ENE,ENE
387,15.7,54,0,2,16.7,65,0,7,0,1017.7,10.4,18.4,E,SSE
388,11,100,0,7.465714286,10.8,100,0,6,0,1015.2,10.3,14.1,0,S
389,9.5,75,0,6,9.6,67,0,7,4.2,1014.9,5.1,11.3,SW,W
390,8,73,0,7,13.6,51,0,7,0,1015.6,3.7,14.7,NW,N
391,11.9,63,0,4,11,82,0,4,0.2,1013.3,7.9,12.8,NNE,NW
392,11.3,88,0,9,11.9,92,0,7,1.8,1011.3,8,12.3,ESE,ESE
393,9.4,100,0,11,10.7,91,0,9,9.2,1019.1,8.8,11.5,SE,ESE
394,9.4,93,0,6,11.8,83,0,13,2.4,1025.1,5.8,12.6,ESE,ESE
395,10.6,89,0,20,14.3,69,0,17,0.2,1027,7,15.3,E,ESE
